,texto
183,"Después del criterio del , ¿en donde irían varones? Yo veo a CDMX, con Harfuch. En Jalisco a 147"
184,Es tiempo de mujeres!!! De modo que en Jalisco   2
185,Jajajaja ni eso hacen bien    
186,    7
187,"""Puentes de plata con el ""

- #transformación"
188,"Esto esta amañado, los comentarios claramente la mayoría dicen clara y en los resultado va Chema muy arriba, de todos modos emití mi voto y mi comentario, ánimo    "
189,) clara es la respuesta   5
190,    5
191,    8
192,    13
193,    1
194,    8
195,Errata: “transformación” *    
196,¿El mismo que se dice inocente de haber desfalcado la obra inicial de la L12 del 4
197,Chema Martínez    
198,"Se demuestra el cariño y el agradecimiento de haberle vendido f€ntanilo, teniendo suspendida su empresa. Entre narc0s se entienden… insurgente  "
199,789    
200,"Jalisco, nunca Morena!    "
201,"Mi voto para Clara Cárdenas, la ruta es CLARA para Jalisco    "
202,"¿Quién debería ser el candidato o candidata a la gubernatura de Jalisco por Morena?
• Clara Cárdenas
( )
• Carlos Lomelí
( 49"
203,jajaja nombre escriba un libro capas le dan premio novel  
204,1.171 . One of my favorite places to go in  
205,ni con esa señora sin chiste ganaran Jalisco    
206,De seguro estaba el anormal de con  
207,"Escucharon la más ""votada""... .
.
.
.
.
Y por los leer descripción de la imagen"
208,Lord fenta recibiendo a Eschaira    
209,    leer descripción de la imagen
210,"Se la puso difícil a los morenistas de Jalisco. Les dejó de tarea: unidad, organización, movilización y suma, debeiron ser sinceros y decirle  que los 2 liderazgos má sfuertes: Alejandro peña y el  "
211,"Felicidades, siguen derrochando dinero del erario. Su hipocresía de ""primero los pobres"" es irónica e indignante. 

Hasta cuándo seguirá permitiendo actos anticipados de campaña.  El "" discurso que se utiliza es PROCELITISMO disfrazado de ""asambleas informativas""  "
212,No es cierto no te creo    
213,Si Dios hablara te pediria cuentas! Corrupto!   leer descripción de la imagen
214,"Ahora si lo pelaron Dr., de a como le va a tocar cooperar? Porque para candidato no da!!!    "
215,"Hoy tuvimos el honor de recibir a la Dra. en Jalisco. Su compromiso con la Cuarta Transformación nos llena de inspiración. 

¡Apoyamos su liderazgo como Coordinadora de Defensa de la 4T! 9"
216,De negocios poco claros. ( perdón por la repetición y)    
217,"Es otra rémora de 4a y si ahora estamos mal, coneate estaremos peor    "
218,No te arrastres chapulín sabes que morena no ganará jamás en Jalisco    
219,Par de lacras    
220,"1.110 .

We can’t wait to see how they apply their experience going forward  "
221,Vamos  para  adelante  Doc. Sector  Agropecuario!!    
222,En Jalisco no queremos esto    
223,"93 likes en 6 horas ! Todo indica que no serás el elegido, date cuenta.    "
224,"Jajajajajaja son unos neanderthales.

Bienvenida a JALSICO    "
225,24 and Rebecca M. Knight! Catch all the real-time coverage at https://
226,Jalsico???    
227,Agradecido con todas sus muestras de cariño y sus palabras de aliento.   1
228,Como les arde asta el asiento saber que el doc Lomelí va aser nuestro próximo gobernador les guste o no ya lo verán    
229,"¿Adivinen quién falta en esta bella imagen?

Adivinaron:    "
230,Par de corruptos    
231,    5
232,A Érika Pérez más que tú la conoces.    
233,Llegó a Jalisco y presentes en el recibimiento dos importantes referentes en el estado: 3
234,"Ahórrense los comentarios cursis..

¿Quieren ganar?

Prometan que van a cancelar el negociazo que hizo el marrano con las verficadoras y que se va a regresa a las de antes.

YA ESTAMOS HARTOS DE MC Y SUS MULTAS E IMPUESTOS POR TODO

Con eso ganan por goleada.   1"
235,"¡Aguas, trae chinches!    "
236,Pues 12 años de campaña como no vas a recorrer el estado    
237,Ten lo por seguro vas a volver a perder    
238,"Que vaya a chingar a si madre, dile… ahh de paso que te lleve a ti también    "
239,"Exacto, los de sólo esperan que el  "
240,"Ccp sangre nueva( honestidad, trabajo , preparación, eficiencia y, de ser posible, carisma)  "
241,17 83% de desc. Lifetime para todas sus cuentas (excepto 10k). Código: ETF80
242,No queremos a ese sujeto como eterno candidato a gobernador. Sangre nueva sin sospecha de negocios sospechosos de medicinas   1
243,"No, no vas a ser gobernador OOOTRA VEZ, saludos    "
244,"Saludando a una amiga de verdad, la primera mujer en ocupar la mas alta responsabilidad en México: la Dra. ¡Ella es! 15"
245,"Si en verdad quiere ayudar a Claudia debería dar un paso al costado y dejar que otro sea el candidato a Gobernador. Los de MC aplauden que usted sea el candidato porque lo aplastarán nuevamente con lo de sus nexos con él narco, su foto en la cárcel y sus ventas de medicinas.   3"
246,"688 Multi-tenant, B2B ready Roles & permissions"
247,"A transformar Jalisco!!! 
Todo nuestro apoyo para la Doctora y para el Doctor Lomelí    "
248,"Te dan tratro como de la bola, te la jugaste con Adán Augusto quién tampoco te quería por corrupto, traidor y mentiroso. No es para menos que el karma te ponga en tu lugar farmacéutico.    "
249,"Te dan tratro como de la bola, te la jugaste con Adán Augusto quién tampoco te quería por corrupto, traidor y mentiroso. No es para menos que el karma te ponga en tu lugar farmacéutico.    "
250,"Te dan tratro como de la bola, te la jugaste con Adán Augusto quién tampoco te quería por corrupto, traidor y mentiroso. No es para menos que el karma te ponga en tu lugar farmacéutico.    "
251,50 Stream on Spotify or anywhere you stream music  
252,Jalisco y MORENA. Con mucha fuerza.    
253,El mejor equipo para la Transformación de Jalisco    
254,"Llegó a Guadalajara, ya en su papel de coordinadora de defensa de los Comités de la Cuarta Transformación. Aquí saludando a @Claudiashein"
255,"Jalisco será territorio morena,jalisco a sido muy maltratado.    "
256,"Llegó a Guadalajara, ya en su papel de coordinadora de defensa de los Comités de la Cuarta Transformación. Aquí saludando a @Claudiashein"
257,"Urgeee que morena gane jalisco, la gente a recibído mucho maltrato.    "
258,Ya llegaron las chinches !!!    
259,"15,7 mil   https://"
260,"Regidor al tener tal conocimiento, mismo que usted pregona y que sin duda alguna es exagerado, por no decir fantasioso, entonces usted qué propone para acabar con la inseguridad y la grave problemática que se vive en todo el estado y particularmente Teocaltiche?    "
261,Nomás un asesinato entre supuestos narcos del que no quiere hablar   @DrCarlosLomeli
262,"¡Bienvenida a Jalisco, ! 45"
263,"No lo conoces, te hace falta ver más a ""BAX""    "
264,"Quieres a Jalisco: conoces y reconoces cada rincón de él, lo has recorrido todo, sabes con orgullo los oficios y vocaciones de los jaliscienses pero también de sus problemas, mismos que habrás de solucionar cuando seas el próximo gobernador. Fuerte abrazo!   1"
265,"Reconocemos su incansable trabajo, la perseverancia y la vasta experiencia estimado en beneficio de Morena en Jalisco. 
Su dedicación y compromiso han fortalecido nuestra causa y nos han acercado más a un futuro mejor para todos.!  "
266,"Cómo político das pena, entiende, tendrás dinero para comprar lo que quieras, pero la gente no va a votar por ti, deja que otra u otro represente el proyecto de AMLO. Confórmate con las diputaciones y candidaturas a presidencia municipal que compraste, pero para gobernador no vas    "
267,"Hoy, mientras compartía con mi esposa e hijas, reflexionaba sobre cómo he tenido la bendición de conocer cada rincón de Jalisco y, en cada comunidad, he tenido al menos una amiga o amigo. ¡Qué hermoso regalo me ha dado Dios!   7"
268,Quienes sabemos su pasado y sabemos como amasó su fortuna no le creemos nada.    
269,Que pasó? Saca el chisme.    
270,"""me invitaron"" Doctor una vez más el acarreo y la manipulación de varios funcionarios en el ""gobierno"" actual, le hacen el trabajo.

Resulta paradójico que la PEOR administración, la cual es ""morenista"" en le pueda brindar apoyo. En fin la simulación y falsedad.  "
271,Es un honor estar con el doctor  !    
272,"¿Sirviéndo o sirviendote de la comunidad? porque algo es cierto, eres millonario gracias a que has robado dinero al pueblo mexicano con los sobreprecios de las medicinas que le vendes al IMSS y al ISSSTE.    "
273,"Te vas a quedar con el deseo (otra vez), Pero gracias por la preocupación doc!!!!!!    "
274,"El día de hoy, tuve el gusto de compartir un momento muy especial con las y los vecinos de Tonalá, quienes me invitaron a conversar sobre mi deseo de coordinar los Comités de Defensa de la Cuarta Transformación en Jalisco. 

Todavía falta mucho por hacer en Jalisco. Sigamos…   6"
275,"Sirviendo ??? 
En lo oscurito, traficando con medicamentos  y lo que hay debajo de la mesa, y así, no por años sino por décadas. Y siempre latente la obsesión de ser más de lo que es, ""CARLITOS, NUNCA GOBERNARAS JALISCO, NUNCA""    "
276,Perfecto y las denuncias y los amparos contra el despilfarro de cintura cantero y lelus. no es propiedad privada es erario de todos  
277,Qué manotas tiene señor.    
278,Entonces nos puede dedicar un poco de honestidad y explicar qué pasó el 16 de septiembre en ? 1
279,Es achichincle del    
280,"Entonces comprendes que la gente no te quiere, ¿Porque sigues haciendo campaña? Deja que otra u otro vaya como candidato y gane la elección, tú no ganas nada, en tu equipo tienes a mucho pendejo y mucho traidor.    "
281,     
282,Ah ok. Afortunadamente sumarás una a tu lista de elecciones perdidas.    
283,"Eso no es democracia. En algún lugar  de este Jallisco organizado por el crimen debe excistir alguien que el pueblo respeta, y sino ya surgirá alguien con la aceptación de todos o finalmente entenderemos como gobernarnos desde  la horizontalidad, lejos del ego y el capital.    "
284,"Si quedas tú cómo candidato de Morena, lo mejor para Jalisco será con el  "
285,"Tú estarás con él, pero el pueblo no. No confundas.    "
286,"¿Cómo están? Cuando leo sus comentarios en las redes sociales y escucho a la gente en mis recorridos, no solo los comprendo, sino que también encuentro el camino para trabajar incansablemente por un futuro mejor para el estado. La vida me ha enseñado a tener el compromiso de…   5"
287,Que bonyta Juncal    
288,"Un mensaje dirigido totalmente a y al ""mandatario"" que gracias a la  "
289,pero que terco eres deberas que como deceas ser gobernador de jalisco que es lo que te impulsa el poder o la corrupcion    
290,Ya borraste las bardas pintadas pocos    
291,"Ya retírate, descansa.    "
292,hizo servicio social cuando estuvo en la cárcel ?    
293,"Jajajajajaajajaj toda mi vida viviendo de mi comunidad , más bien , no?    "
294,presentan encuesta de para Jalisco al corte de esta semana. Advierte que si sería hoy la  
295,498    
296,"jajaja se aplica maquillaje, edición. y cuando va a eventos con muchos reflectores se lleva sueteres con cuello de tortuga. 
jajajaj    "
297,Cual comunidad perdón yo no e visto que vaya a donar medicamentos o tratamientos de cáncer a la gente ya que su praton quito esa ayuda    
298,"Mujer, vida, libertad: este fue el grito que envió a la cárcel a Narges Mohammadi, activista iraní que ha sido galardonada hoy con el Premio Nobel de la Paz.

Ella y muchas otras mujeres, víctimas de una sistemática violencia y de la indiferencia de su gobierno ante sus clamores,…   6"
299,La verdad se pasan que mal   1
300,    http://
301,"puras fallas, ya ni porque su carnal es millonario, chales mendigo coraje por eso estamos como estamos   1"
302,Ve nomás   1
303,"ratero ratero!!! no quieren a morena en Jalisco y con este tipo de alcalde , menos a ver , 1"
304,Mira quién te quitará Jalisco    
305,Todos Solo CEO en Camiseta 108 votos
306,"viejo guanjo , jalisco no quiere sus cochinadas    "
307,    leer descripción de la imagen
308,Y pa cuando sacamos las dagas que ha hecho    
309,"Wey a quien ponga MC vamos a votar por el, no por ti, entiende menso    "
310,Ya borraste las bardas que mandaste pintar y que aparte lo niegas    
311,     
312,"Bien aprendido del que esta en mando,el chiste es emcapricharse y ser vividor y en unos 20 años talves ganes    "
313,"Irónico y sarcástico
""toda mi vida sirviendo a mi comunidad""

El chiste se cuenta solo.    "
314,     
315,Autlán y el Distrito 18 de Jalisco estamos con Usted Doc! Cero impunidad contra los naranjas corruptos que embargaron y robaron el dinero de los jaliscienses!   1
316,214 que reconoce el trabajo conjunto de empresas y organizaciones con acciones integrales más sostenibles.  
317,"Llevo toda mi vida sirviendo a mi comunidad, y hoy, en el Distrito 4 de Zapopan, recordé mis primeras visitas de trabajo social hace casi dos décadas, de la mano de jóvenes que hoy son líderes.  Todavía hay muchas carencias, pero vamos a luchar, con la conciencia y el corazón,…   17"
318,Les falto el    
319,     
320,Tus post jajaja pobre pendejo de ti    
321,"488 , and all our fans to share photos of this amazing creature!  "
322,Mentiroso    
323,Para los jaliscienses será un gusto hacerte perder de nuevo.    
324,ya necesitamos a el dr. de gobernador en jalisco y asi va ser apoyo para el dr. lomeli    
325,¿Vas a decir algo de lo que pasó en el edificio Lobby 33? ahí mataron a un joven y es propiedad de    
326,181    
327,El proximo gobernador de jalisco apoyo total para usted dr. lomeli  
328,Jalisco necesita un cambio y llegara con el dr. lomeli apoyo total para el    
329,Jalisco esta con el dr. vamos por la transformacion en Jalisco    
330,Vamos por la transformacion de jalisco de la mano de el dr. lomeli    
331,"Esa cosa no es un vocero, es su lame huevos y aparte es putito jajajaaja    "
332,Viejo corrupto sabes que no vas a ganar y aun así sigues    
333,"Tal vez usted sea el mejor candidato para Jalisco solo que chava desprestigio su partido con tantas cosas que se le conocen, una lastima para morena tenga aspirantes con pensiones de oro como es el candidato a gobernador Salvador!!!!    "
334,"Las mujeres de Jalisco merecen vivir libres, plenas y con dignidad. Hagamos de este sueño una realidad.   44"
335,Seguro son de morena!    
336,"Dr. Desgraciadamente usted es el mejor candidato para Jalisco pero al parecer no para los que integran morena en Jalisco, menos para los intereses de Peña    "
337,Cuéntanos de esto mi perro lugar de tu amo #LOCAL
338,"La va a ganar, pero la que se ganó en 2012, en 2015, en 2018 y 2021    "
339,Por fin va ganando en una encuesta ese bueno para robar. Tengo desde el 2012 viéndolo perder cada 3 años.    
340,"Si lanzan a ese pendejo es victoria segura para los pelones de Alfaro.i
De ese we a Lemus, la banda va a elegir a Lemus. Una kgada de candidato lo que presenta Morena    "
341,no para recorre dónde plática con los militantes y simpatizantes de  
342,Propiedad de    
343,Lo único que usted va a coordinar son las transas en sus empresas… pero gracias por su preocupación Doc!    
344,P1nch3 cínico!!    
345,"Dr, ya dejese de mamadas, en Jalisco nadie lo quiere, ya dejé la oportunidad a alguien más .    "
346,"Efectivamente, llevas casi 20 años comprometidisimo con los intereses personales y en pie de lucha por no soltar el hueso.
Ahora más que nunca sabemos  de tus aspiraciones.

Justamente, seremos el motor para que la desesperanza de una nula ""transformación"" NO  destruya    "
347,Que raro que ahora no diga nada sobre lo sucedido en el edificio de su padrino 1
348,Jalisco no aguanta más! No cabe duda que el pueblo de Jalisco encontrará en Usted estimado Doc el liderazgo apto para construir la  
349,Y aún así  de torpe lo quieren de candidato otra vez!!! Fuera Lomelí de Morena!!!    
350,     
351,"Como olvidar cuando predijo el triunfo de MC en Guadalajara y en la mayoría de los municipios de Jalisco. 

Y eso que el bato era candidato a la presidencia de Guadalajara por Morena. 7"
352,547    
353,Y su vocero tendrá algo que decir? 2
354,"Oiga ¿Ya va a decir algo sobre lo que pasó en uno de sus tantos edificios? ¿Esos asesinos son amigos suyos? Digo es bien sabido que usted tiene nexos con el narco, hasta fue detenido en EUA por ello.

¿Es usted amigo de los tipos que asesinaron a un chavo a… 27"
355,Que casualidad    
356,Continúa recorriendo Jalisco en aras de ser el abanderado de  
357,Así es Doc. Gastando suela con el pueblo.    
358,"Ve a revisar tu edificio, tienes un desmadre con tus amigos los narcos.   #LOCAL"
359,"En su objetivo de ser coordinador de la defensa de la transformación en Jalisco, no deja de recorrer el estado. #4T"
360,"¡Todo el Apoyo al para liderar y representar a Morena en Jalisco! Su experiencia, compromiso y perseverancia son clave para un mejor futuro.  "
361,"¿Cuáles encuestas? Ah sí, las cuchareadas por su propio partido, se debería modificar la ley para que un candidato solo pueda participar dos veces máximo en puestos de elección popular, este señor corrupto no le ha quedado claro que nadie lo quiere.    "
362,"Así es como se hace con la gente directamente, gracias siempre por la cercanía Dr lomeli    "
363,"El día de hoy tengo el honor de compartir un diálogo con militantes y simpatizantes de Morena en Teuchitlán. En esta reunión, les hablo sobre mi compromiso con la Cuarta Transformación y por qué motivo aspiro a coordinar los Comités de Defensa de la en Jalisco.

Llevo casi 20… 16"
364,es el próximo gobernador de Jalisco …. FUERA MC YAAA   2
365,"| Este Miércoles, el visitó 9"
366,Eres una mujer con garras de la debensa adelante charrita    
367,"Doña, y del asesinato en Lobby 33 que le pertenece al no va a hablar?  "
368,"Oye mamarifles, mataron a un we en el congal de tu matador el a qué horas vas a culpar a Movimiento Ciudadano? 3"
369,"Ojo aquí

Fue en el edificio  que pertenecena Al que #LOCAL"
370,"235,7 mil   http://"
371,"¿Que opinas del hombre asesinado en un edificio de ?

¿Será que 6"
372,¿Vas a decir algo del asesinato de un hombre en el edificio de ? ¿O ahí te vas a quedar callado?  
373,Y tu matador de cuando responderá ?  
374,En respuesta a @Libro_negro_  
375,6.337   https://
376,En respuesta a @Libro_negro_  
377,En respuesta a @Libro_negro_  
378,En el edificio de El candidato de Morena a la gubernatura de Jalisco!? 4
379,Hola y demás secuases de la 4t quiero ver sus maromas  
380,100 Stream Hope Bloom  
381,Upsss otra Involucrada en laVenta a Sobreprecio. Entre Hiram Torres y ella se pasan la Bolita  
382,     
383,"Con perseverancia, compromiso y mucho trabajo, los sueños se cumplen.   5"
384,Achaspm los de MC!    
385,"Y ni todo el dinero que tienes te va alcanzar para comprar la honestidad, eso es algo que no conoces y que jamás conocerás.    "
386,"Tu presidente AMLO ya dijo que los militares no tuvieron la culpa, seguramente los estudiantes se dispararon solos    "
387,"Típico de morena, tirar la piedra y esconder la mano.    "
388,Porque no demandas a ese wey también tiene cola que le pisen… o acaso lo haces porque ya viene la temporada de elecciones 1
389,"neta q lentos son, todo el poniente de la ciudad literalmente abandonado, la Avenida Malecón y Patria d El Zalate, lleno d pandillas, y uds? No usan eso. Necesitan asesoría    "
390,"Acerquense a Dios,
y veran como la paz y prosperidad llegaran a sus vidas porque todo lo de Dios es siempre bueno. . Saul  "
391,A partir de cuando? llevan 3 administraciones y mira que en una compitio y no pudo  
392,"Ojalá sea Clara, Lomeli pierde todo no tiene carisma, es aburrido, está desfasado!    "
393,Nombramiento del Chayote de Oro    
394,Usted debería quitar esos mensajes en las bardas y esas lonas en apoyo a su persona para que no quede duda de que usted no los mando poner    
395,  Stream Hope Bloom  
396,En serio???    
397,"Vete a un estado del sur, ahí si quieren a , no importa si les ponen de candidato un corrupto, ratero, con nexos con el narcotráfico, van a votar por él  "
398,Ay no mame    
399,Tu culo    
400,Lo aplicaste vendiendo medicamentos a sobreprecio. Tu honestidad es innegable    
401,Vamos Clara Cardenas!    
402,Estamos contigo Clarita.    
403,El burro hablando de orejas    
404,Bardas las que puso Lemus en para su informe de campaña y que casualmente borraron y solo dejaron un logo    
405,"Conforme avanza el proceso electoral rumbo al 2024, en Jalisco, Morena aumenta preferencias para derrotar a MC; igualmente, se coloca como el puntero para ser el candidato de acuerdo a varias encuestas. 5"
406,"Pero aún les falta que la CDMX perdone a la judía católica cristiana por lo de la línea 12, la falta de mantenimiento del metro y lo del COVID.
De Jalisco y NL nunca votarán por y más cuando en Jalisco está nominado el delincuente de  "
407,"Claro que no los conoces doctor penicilina, los pagas y lo hacen sin jamás conocerse    "
408,Manipulación de información para no caer en consecuencias pre electorales y post electorales.    
409,Ten la seguridad.    
410,En Jalisco no quieren a Lomeli . siempre que se lanza pierde.  
411,5.348    
412,     
413,"Usted ni honesto ni integro, en pocas palabras una baratija    "
414,No es muy honesto vender omeprazol a sobre precio    
415,De veras???????!!!!!!!!!    
416,Que propones sobre la verificación recaudatoria que agobia y afecta la economía de los jaliscienses?  
417,"wow!!! sitando al capital ?
Ya sabemos a quien admiras y para q haces como q trabajas... 

xD    "
418,Ya deberían cortarle el internet...    
419,Generación espontánea de publicidad electoral.    
420,"Unas de las tareas de un regidor es proponer solución a los problemas del municipio, así que de cierta forma si le toca, a menos proponerlo.    "
421,Cómo les gusta hacerse pendejos jajajajajajajajajjajajajajajjaja    
422,"Tus bardas publicitarias me hacen odiarte mas, ahi dejalas ! esta funcionando tu estrategia    "
423,Mismas justificaciones de los morenos. Pensé que eras diferente    
424,JJAJAJAJA NETA NO SABES?  QUE BARBARO    
425,"No te casas de leer tantos.tantos pero tantos, pero tantos tweet que te responden    "
426,     
427,No mames Lomelí jajajaja jajajaja    
428,    leer descripción de la imagen
429,Ojalá vuelva a perder    
430,  During live coverage of hears from
431,Ya se lo bueno que va a perder    
432,Típico de los de morena hacerse wey    
433,Jajajajajaja    
434,Eso es todo Juncal¡    
435,38    
436,"Si usted es el candidato de morena es otra perdida segura, ya todos lo conocen y no creo que nadie vote por su partido    "
437,Al estilo de claudia y todos los de morena jajaja    
438,"Carlitos, si dices que ama al pueblo, dime tu porque se empeña a diario en joderlo.

Porque insisten en insultar nuestra inteligencia. ¿Porque?    "
439,Va a ganar Doc los jaliscienses ya es amis listos para correr al mc    
440,Che rata de cuello blanco ! Quien gastaria dinero a favor y anónimamente por usted ? No tiene jefa    
441,"Jajajaja, no he visto ninguna!! Pero si, si tú dices ""te creo"" jajaja!! Corrupto de    "
442,"Y si el transformador de cuarta que va por otro ridículo electoral y político no fué ni sus compañeros de secta tampoco, (según él) porque ""se deslinda"" e invita a sus secuaces a ""respetar los tiempos electoreros""  ???
JUSTIFICACION NO PEDIDA...........    "
443,Yo jamás lo haría.    
444,A quien le quedo demasiado grande el cargo    
445,"Hoy conmemoramos el 2 de octubre, un día que no se olvida, y en 2011, se fundó como asociación civil. Un paso crucial en nuestro camino hacia la democracia y la justicia de Mexico y de nuestro estado . 

En 2018, logramos un cambio. Hoy, tenemos un Presidente que… 5"
446,Que dice el papá de Checo que el no tiene una foto como esta para presumir a dónde apunta el dedito:  
447,"Está fácil... Vamos enviando una propuesta al Dr. Lomelí:
Si en verdad no tiene idea quien las puso, demuestre que no las quiere Y BÓRRELAS USTED MISMO!!  "
448,Corrupto.    
449,Los “alliens” están entre nosotros y apoyan al    
450,"Mira, justo el mismo discurso de Sheinbaum; qué bueno es el pueblo que así sin más va a pintar bardas para apoyarlos...    "
451,161    
452,"Y todas iguales, y con  tipografía, diseño de acuerdo a su campaña    "
453,Jajajaja jajaja    
454,Apóyenos mejor a que procedan las denuncias por cobros indebidos por parte del secretario de Pablo Lemus Ricardo flores López y el@director de atención ciudadana Esteban García Iñiguez    
455,"Mejor no opinar, como que no sabes quién te está promocionando, empezamos mal...    "
456,     
457,Pues entonces eres una persona barata. ¿Comprar candidaturas es honesto?    
458,jajajaja vete alv Supporters 88  
459,"Movimiento Ciudadano es el hermano de Morena, no voten por esos políticos  que se acoplan a las órdenes del viejito    "
460,Mucha gente me dijo que tú pagaste por esas bardas.    
461,"Eres de morena?… ahh ya, seguro es alguna editorial, algún proveedor tuyo, alguien que lo hace “de su bolsa” verdad?    "
462,"El inversor y empresario Warren Buffett acuñó  la frase: ""La honestidad es un regalo costoso,  no lo esperes de personas baratas"". Y sin duda,  en la vida, la integridad es la base de una  sociedad fuerte y próspera. ¡Tengan un buen  arranque de semana!   3"
463,Pir isti midii minifiisti...    
464,Mira tu .. igual que Juanita Brugada en el DF. Tienen amigos muy pudientes para gastar millones a lo p3ndej0. ¿Y las enseñanzas del amo?    
465,Insisto la política es necesaria los políticos son una mierda    
466,JAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJA    
467,     
468,Jajajaja    
469,"Hijos de su pu74 madre, todos son iguales....
Jajaja jajaja jajaja jajaja    "
470,"Oi nomás, hazte pen...diente    "
471,"Si en Jalisco se aplica la encuesta como criterio para definir al candidato a la gubernatura, sería inevitablemente el elegido. Supera con creces a los/las demás  "
472,99 stands out.  
473,jaja.    
474,"Pa que te haces wey, si eres tú, bien sabes que te van a dar la candidatura, pues ya la pagaste, ya ofreciste dinero a la campaña de Claudia.    "
475,Quién haya sido no vas a Ganar !!!    
476,Es gente espontanea    
477,Ya haciendo campaña doctor transas    
478,No mm    
479,Tu fuiste el que metió en apuros al IPEJAL en aspecto de medicinas tu y tus transas    
480,"Morena dio a conocer los nombres de los cuatro nominados por el Consejo Estatal del partido en Jalisco. De ellos, sólo se encuentra posicionado dentro del Top 10 de nuestro Power Ranking de la entidad. 4"
481,"En lugar de ""deslindarse"", bórrelas con cargo a sí bolsillo    "
482,     
483,Tus amigos los narcos las pintaron.    
484,"Carlos 

Fui yo.

Cuando ganes te acuerdas de mi....    "
485,Ya we no te lances OTRA VEZ de candidato por favor!    
486,esta bien raro no? jajajajaj patan lacra    
487,     
488,"Hazte menso jajajaja, bien que le pagas 500 por cada barda pintada.    "
489,Ya quitenle al tío el celular.    
490,    leer descripción de la imagen
491,Jajajaja ridiculo corrupto vas a perder con todo y tus lonas    
492,Chtpm pinché lacra de    
493,"JAJAJAJAJAJAJA, ahora resulta que por puro amor a tu persona la gente gasta en esas mamadas. Políticos siendo políticos.    "
494,"Jajajajaja
No mames pinché corrupto    "
495,"Si te beneficia o te perjudica,  ya debiste haberlas borrado . Todas !    "
496,Chema Martínez ll    
497,"Hay muchas bardas pintadas, que bueno que usted si se apegue a la ley.    "
498,"Siendo una blanca Paloma te entendemos , lo que no entendemos que si en un momento fuiste  proveedor  de precursores químicos para un cartel ,tu amigo el humanista   te permita aspirar a ser  gobernador    "
499,Otra del PRI?    
500,Putæ rata    
501,"Jajajajajajaja ¡Hipócrita!

Si toda tu vida ha sido navegando en la corrupción y la ilegalidad.   2"
502,"Hazte a un lado. El Partido no crece por ti. Tú eres la causa que Movimiento Gobierne casi todo Jalisco. Acéptalo, el pueblo de Jalisco no te va a elegir. 

Deja que otros tengan la oportunidad. 

O ese es el pacto que hiciste con Alfaro?    "
503,Jajaja típico de los morenacos.    
504,Dejen de pensar que los ciudadanos somos ignorantes. Nadie se que cree eso que escribes. Son ustedes mismos haciendo proselitismo. Farsante.    
505,"Otra vez usted? No se cansa de fracasar? Esta bien que se dice que “solo fracasa el que no lo intenta”, pero Usted no es viable para ningún proyecto electoral, deje que otros compitan    "
506,Un mal chiste este tipo    
507,Jajajaja    
508,"Mentiroso, corrupto y descarado. Jaja, no vas a ganar, Carlitos, mejor utiliza tus recursos para tu empresa o familia.    "
509,Seguro son tus millones de fans    
510,Jajajajajajq pinche cínico !    
511,Jajjajajajajajajaja como se hacen pndjos    
512,"A pesar de estar prohibidas por Morena, en la CDMX y en Jalisco han aparecido bardas que promocionan a alguno de los aspirantes. 

. y 1"
513,Diversas? En toda la ciudad hay bardas con tu nombre y a un lado las siglas CJNG    
514,     
515,     
516,"Ridículo. Siempre te haz caracterizado por los negocios sucios, y la política no es la excepción en tu caso. Los contratos para venta de medicamentos a sobreprecio, y el gasto desmedido en las campañas, van de la mano.
solo que... aún no es tiempo de campaña    "
517,"Bueno, tu si masticas agua,  verdad ?    "
518,"No mams,quieres que sea presidente para que le aumente sueldo a los policías,que pendej0 estás    "
519,Como si tuviera apoyo incondicional y gratuito jajajaja   11
520,"Jajaja claro Dr. Apoyo a su persona jajajajajajaja  si es toda una tradición del Mexicano gastar dinero por amor a un politico o ratero, jajajajaja ni los lambiscones le meten dinero a eso, ha que las nuevas maromas ante de las elecciones. Jajajajajaja    "
521,UNIDAD    
522,Dile a Frainge    
523,     
524,"AMLO mando toda su artillería pesada CO a jalisco para desprestigiar al gobierno , así ataca MORENA, pero ya ven en guerrero ni aunque ganaron a mejorado nada y esta peor hay selos dejonpara que lo analicen , infórmense, no sedejen guiar por los voceros de morena ,no caigan .    "
525,"Casualmente a todos los políticos, de un tiempo a la fecha, les aparecen bardas pintadas con sus nombres, así, bien raro!!   8"
526,"Políticos, siendo políticos    "
527,Reclama al de Zapopan    
528,Desconozco dice el hdspm! igual que la otra pendeja  
529,     
530,De los impuestos no creo... Esos se irían con el candidato de MC o van en alianza?    
531,Arriba pusieron que a él no le toca eso igual si lo preguntas al indicado se puede hacer algo  
532,"Los políticos
Y sus mentiras

Siempre ocultando la verdad

No valen corneta    "
533,Creo el no es de ZPN ♔  
534,"Aplicando el Chemazo, desconociendo el apoyo, osea que las personas lo hace de a gratis, sin recibir sueldo? jajaja no lo se rick!    "
535,Que bueno que se vuelve a postular… para que no gane MORENA en Jalisco… guarde este tweet…    
536,Mi perro me miente mejor y no sabe ni hablar   28
537,No MMS....    
538,"A él no le toca, es regidor en Guadalajara.    "
539,Mintiendo hasta en eso.    
540,"Dice, desconozco los que las pintaron, pero se los agradezco mucho, ánimo!...    "
541,Entonces usted por su propia mano borrelos   8
542,"No junta ni 100 likes en sus post y resulta que tiene quien gaste su dinero en la basura que usted representa, no diga mmds.  "
543,     
